IDLieu,Ville,Etat,Region
JM-16195_94109,San Francisco,California,West 
MB-18085_90049,Los Angeles,California,West 
SV-20365_77070,Houston,Texas,Central
CG-12040_53209,Milwaukee,Wisconsin,Central
BD-11500_94122,San Francisco,California,West 
JK-15640_44105,Cleveland,Ohio,East 
JM-15580_28110,Monroe,North Carolina,South
SC-20230_1852,Lowell,Massachusetts,East 
ME-17320_75081,Dallas,Texas,Central
KN-16390_19120,Philadelphia,Pennsylvania,East 
HM-14860_80538,Loveland,Colorado,West 
JM-15580_80538,Loveland,Colorado,West 
KH-16690_2895,Woonsocket,Rhode Island,East 
BK-11260_60610,Chicago,Illinois,Central
PN-18775_93309,Bakersfield,California,West 
AZ-10750_75217,Dallas,Texas,Central
GM-14500_19140,Philadelphia,Pennsylvania,East 
BM-11785_32725,Deltona,Florida,South
NH-18610_31907,Columbus,Georgia,South
PN-18775_37211,Nashville,Tennessee,South
EH-13765_19134,Philadelphia,Pennsylvania,East 
HA-14905_60610,Chicago,Illinois,Central
AB-10150_75220,Dallas,Texas,Central
MS-17365_88220,Carlsbad,New Mexico,West 
DD-13570_19134,Philadelphia,Pennsylvania,East 
MT-17815_10009,New York City,New York,East 
GM-14500_11572,Oceanside,New York,East 
KB-16585_70506,Lafayette,Louisiana,South
DM-13015_10009,New York City,New York,East 
BP-11185_92804,Anaheim,California,West 
EP-13915_32725,Deltona,Florida,South
FG-14260_10009,New York City,New York,East 
AB-10255_98103,Seattle,Washington,West 
RD-19480_92105,San Diego,California,West 
TS-21430_73120,Oklahoma City,Oklahoma,Central
JA-15970_10550,Mount Vernon,New York,East 
SW-20455_94109,San Francisco,California,West 
FP-14320_10009,New York City,New York,East 
JL-15835_90045,Los Angeles,California,West 
JL-15175_85224,Chandler,Arizona,West 
JG-15160_11561,Long Beach,New York,East 
SH-19975_94109,San Francisco,California,West 
LS-17200_59601,Helena,Montana,West 
CS-11860_10011,New York City,New York,East 
KW-16570_63122,Kirkwood,Missouri,Central
GH-14410_60653,Chicago,Illinois,Central
AG-10495_85345,Peoria,Arizona,West 
TS-21430_98103,Seattle,Washington,West 
AJ-10945_48180,Taylor,Michigan,Central
SJ-20215_91104,Pasadena,California,West 
SC-20020_48640,Midland,Michigan,Central
LA-16780_48205,Detroit,Michigan,Central
FC-14335_81001,Pueblo,Colorado,West 
CA-12265_76706,Waco,Texas,Central
JH-15985_94109,San Francisco,California,West 
AJ-10795_10024,New York City,New York,East 
BT-11395_90036,Los Angeles,California,West 
DJ-13510_2895,Woonsocket,Rhode Island,East 
AG-10675_31907,Columbus,Georgia,South
JD-15790_32216,Jacksonville,Florida,South
EH-14125_19140,Philadelphia,Pennsylvania,East 
ZC-21910_47201,Columbus,Indiana,Central
XP-21865_77506,Pasadena,Texas,Central
DK-12985_94122,San Francisco,California,West 
CS-12250_29203,Columbia,South Carolina,South
AI-10855_98031,Kent,Washington,West 
AA-10315_78664,Round Rock,Texas,Central
RE-19450_94601,Oakland,California,West 
TM-21010_13021,Auburn,New York,East 
YS-21880_19711,Newark,Delaware,East 
AZ-10750_10024,New York City,New York,East 
CM-12445_92374,Redlands,California,West 
JB-16000_48066,Roseville,Michigan,Central
LC-16930_10011,New York City,New York,East 
CA-12775_48205,Detroit,Michigan,Central
SR-20425_48234,Detroit,Michigan,Central
PP-18955_65807,Springfield,Missouri,Central
JM-15865_90036,Los Angeles,California,West 
AS-10090_10011,New York City,New York,East 
LS-16975_94109,San Francisco,California,West 
SA-20830_93727,Fresno,California,West 
LS-17200_71854,Texarkana,Arkansas,South
TM-21490_94110,San Francisco,California,West 
TT-21265_46203,Indianapolis,Indiana,Central
DN-13690_21044,Columbia,Maryland,East 
EB-14110_95123,San Jose,California,West 
CM-11815_98115,Seattle,Washington,West 
HM-14860_75007,Carrollton,Texas,Central
KM-16375_22204,Arlington,Virginia,South
BF-11020_90032,Los Angeles,California,West 
JE-15745_60423,Frankfort,Illinois,Central
EJ-14155_98105,Seattle,Washington,West 
BN-11470_19143,Philadelphia,Pennsylvania,East 
EC-14050_31907,Columbus,Georgia,South
TT-21220_23464,Virginia Beach,Virginia,South
NP-18685_98198,Des Moines,Washington,West 
AH-10195_18018,Bethlehem,Pennsylvania,East 
CC-12145_73120,Oklahoma City,Oklahoma,Central
DL-13315_91730,Rancho Cucamong,California,West 
XP-21865_90032,Los Angeles,California,West 
MA-17560_19120,Philadelphia,Pennsylvania,East 
SZ-20035_77036,Houston,Texas,Central
CS-11845_98103,Seattle,Washington,West 
MH-18115_10701,Yonkers,New York,East 
CB-12025_94110,San Francisco,California,West 
JO-15145_90008,Los Angeles,California,West 
PA-19060_33142,Miami,Florida,South
SV-20785_5408,Burlington,Vermont,East 
KL-16555_72701,Fayetteville,Arkansas,South
BC-11125_79762,Odessa,Texas,Central
PO-18850_23464,Virginia Beach,Virginia,South
AG-10675_53209,Milwaukee,Wisconsin,Central
SP-20860_55901,Rochester,Minnesota,Central
LH-17020_80027,Louisville,Colorado,West 
AD-10180_94122,San Francisco,California,West 
KT-16465_77036,Houston,Texas,Central
PJ-19015_33180,Miami,Florida,South
MC-18100_44256,Medina,Ohio,East 
BO-11350_55113,Roseville,Minnesota,Central
DP-13000_77041,Houston,Texas,Central
TM-21490_10701,Yonkers,New York,East 
DV-13045_92037,San Diego,California,West 
AH-10690_22153,Springfield,Virginia,South
AB-10165_62521,Decatur,Illinois,Central
JS-15940_75043,Garland,Texas,Central
BV-11245_11572,Oceanside,New York,East 
NC-18415_77095,Houston,Texas,Central
SU-20665_27834,Greenville,North Carolina,South
DJ-13510_94110,San Francisco,California,West 
DL-12865_27405,Greensboro,North Carolina,South
Dp-13240_37918,Knoxville,Tennessee,South
TM-21010_68801,Grand Island,Nebraska,Central
TZ-21580_90712,Lakewood,California,West 
SC-20260_1841,Lawrence,Massachusetts,East 
LS-17230_90049,Los Angeles,California,West 
MV-18190_77036,Houston,Texas,Central
BD-11620_10035,New York City,New York,East 
CV-12295_10011,New York City,New York,East 
KB-16315_19711,Newark,Delaware,East 
ME-18010_98105,Seattle,Washington,West 
AJ-10780_85254,Scottsdale,Arizona,West 
DV-13465_11572,Oceanside,New York,East 
JK-15325_75220,Dallas,Texas,Central
SH-20395_14609,Rochester,New York,East 
SC-20725_90045,Los Angeles,California,West 
CS-12250_55125,Woodbury,Minnesota,Central
LH-16900_60068,Park Ridge,Illinois,Central
YC-21895_75217,Dallas,Texas,Central
CY-12745_71203,Monroe,Louisiana,South
AH-10030_90004,Los Angeles,California,West 
AR-10540_94109,San Francisco,California,West 
SS-20590_94122,San Francisco,California,West 
DW-13585_28314,Fayetteville,North Carolina,South
NC-18625_75217,Dallas,Texas,Central
CD-11920_67212,Wichita,Kansas,Central
DW-13195_97477,Springfield,Oregon,West 
EH-13990_77041,Houston,Texas,Central
BD-11320_98103,Seattle,Washington,West 
KH-16630_44312,Akron,Ohio,East 
NH-18610_48237,Oak Park,Michigan,Central
AG-10495_77041,Houston,Texas,Central
RP-19855_98103,Seattle,Washington,West 
NB-18655_19134,Philadelphia,Pennsylvania,East 
JM-15580_90045,Los Angeles,California,West 
DM-13525_77070,Houston,Texas,Central
CC-12220_19143,Philadelphia,Pennsylvania,East 
GA-14725_72756,Rogers,Arkansas,South
CV-12805_90045,Los Angeles,California,West 
NC-18535_98105,Seattle,Washington,West 
GR-14560_19805,Wilmington,Delaware,East 
JG-15805_84604,Provo,Utah,West 
EB-13750_94110,San Francisco,California,West 
MC-17605_90004,Los Angeles,California,West 
BM-11650_43130,Lancaster,Ohio,East 
HF-14995_90004,Los Angeles,California,West 
ML-18265_98103,Seattle,Washington,West 
AH-10195_10024,New York City,New York,East 
TZ-21580_90045,Los Angeles,California,West 
DM-13345_94109,San Francisco,California,West 
TS-21505_88101,Clovis,New Mexico,West 
TB-21625_67212,Wichita,Kansas,Central
LC-16870_60653,Chicago,Illinois,Central
AM-10360_68104,Omaha,Nebraska,Central
JE-15715_77041,Houston,Texas,Central
CS-11950_19134,Philadelphia,Pennsylvania,East 
PF-19225_90045,Los Angeles,California,West 
PJ-18835_40475,Richmond,Kentucky,South
JF-15490_6708,Waterbury,Connecticut,East 
NM-18520_90045,Los Angeles,California,West 
MH-17290_90036,Los Angeles,California,West 
SZ-20035_94122,San Francisco,California,West 
PR-18880_33710,Saint Petersbur,Florida,South
FC-14245_44107,Lakewood,Ohio,East 
LH-16750_85224,Chandler,Arizona,West 
RM-19675_90008,Los Angeles,California,West 
DM-13525_32137,Palm Coast,Florida,South
EH-14185_10035,New York City,New York,East 
TC-21295_33458,Jupiter,Florida,South
AI-10855_85301,Glendale,Arizona,West 
JM-15535_10035,New York City,New York,East 
BE-11335_77041,Houston,Texas,Central
DR-12880_10035,New York City,New York,East 
TA-21385_66062,Olathe,Kansas,Central
KN-16705_89431,Sparks,Nevada,West 
PJ-18835_61107,Rockford,Illinois,Central
MC-17605_19143,Philadelphia,Pennsylvania,East 
BS-11755_98026,Edmonds,Washington,West 
PK-19075_94122,San Francisco,California,West 
TS-21205_28806,Asheville,North Carolina,South
BD-11725_90032,Los Angeles,California,West 
TS-21340_85254,Scottsdale,Arizona,West 
ST-20530_77095,Houston,Texas,Central
DB-13210_94109,San Francisco,California,West 
KF-16285_92105,San Diego,California,West 
JM-16195_45011,Hamilton,Ohio,East 
TS-21505_80134,Parker,Colorado,West 
YC-21895_68025,Fremont,Nebraska,Central
Dp-13240_55369,Maple Grove,Minnesota,Central
SJ-20500_19711,Newark,Delaware,East 
KB-16240_33180,Miami,Florida,South
CS-12250_92105,San Diego,California,West 
EB-13870_33142,Miami,Florida,South
PB-19150_33178,Miami,Florida,South
MT-18070_78207,San Antonio,Texas,Central
BF-11020_32216,Jacksonville,Florida,South
CG-12520_77070,Houston,Texas,Central
DH-13675_94122,San Francisco,California,West 
SC-20440_19140,Philadelphia,Pennsylvania,East 
HG-15025_43302,Marion,Ohio,East 
MM-18055_10024,New York City,New York,East 
TH-21115_19140,Philadelphia,Pennsylvania,East 
JE-15745_90036,Los Angeles,California,West 
PG-18820_30080,Smyrna,Georgia,South
MB-17305_94122,San Francisco,California,West 
JD-16015_60653,Chicago,Illinois,Central
JH-15430_97504,Medford,Oregon,West 
EN-13780_10009,New York City,New York,East 
KC-16255_35810,Huntsville,Alabama,South
MS-17980_19134,Philadelphia,Pennsylvania,East 
CK-12205_95051,Santa Clara,California,West 
SJ-20125_90805,Long Beach,California,West 
EA-14035_90008,Los Angeles,California,West 
MG-17890_93101,Santa Barbara,California,West 
AB-10255_10009,New York City,New York,East 
SC-20260_32216,Jacksonville,Florida,South
TB-21355_75104,Cedar Hill,Texas,Central
JK-16090_68104,Omaha,Nebraska,Central
CK-12595_72209,Little Rock,Arkansas,South
SS-20590_68701,Norfolk,Nebraska,Central
MG-17890_3301,Concord,New Hampshire,East 
JM-16195_84020,Draper,Utah,West 
SG-20470_94109,San Francisco,California,West 
DB-12970_77036,Houston,Texas,Central
JW-15220_36116,Montgomery,Alabama,South
KD-16495_39212,Jackson,Mississippi,South
IL-15100_89031,North Las Vegas,Nevada,West 
JE-15610_30318,Atlanta,Georgia,South
SU-20665_60610,Chicago,Illinois,Central
EA-14035_43229,Columbus,Ohio,East 
RF-19840_91104,Pasadena,California,West 
LC-17050_90004,Los Angeles,California,West 
PS-18970_20735,Clinton,Maryland,East 
PS-18970_10024,New York City,New York,East 
JO-15280_92037,San Diego,California,West 
VP-21730_10011,New York City,New York,East 
GA-14725_93534,Lancaster,California,West 
EM-14140_59405,Great Falls,Montana,West 
DB-13615_94110,San Francisco,California,West 
ML-17395_8701,Lakewood,New Jersey,East 
JH-15430_44105,Cleveland,Ohio,East 
BP-11095_1841,Lawrence,Massachusetts,East 
SB-20185_3301,Concord,New Hampshire,East 
SV-20785_21215,Baltimore,Maryland,East 
DO-13435_43229,Columbus,Ohio,East 
TB-21355_77041,Houston,Texas,Central
BS-11380_10011,New York City,New York,East 
FM-14215_27405,Greensboro,North Carolina,South
JL-15835_10024,New York City,New York,East 
AF-10870_94109,San Francisco,California,West 
BG-11035_71203,Monroe,Louisiana,South
MB-17305_45231,Cincinnati,Ohio,East 
HW-14935_98105,Seattle,Washington,West 
AB-10105_10011,New York City,New York,East 
JP-15460_10035,New York City,New York,East 
DV-13045_38109,Memphis,Tennessee,South
CM-12190_92105,San Diego,California,West 
SC-20695_54601,La Crosse,Wisconsin,Central
VW-21775_90032,Los Angeles,California,West 
PP-18955_98115,Seattle,Washington,West 
DR-12880_33180,Miami,Florida,South
RB-19465_19143,Philadelphia,Pennsylvania,East 
NF-18385_23320,Chesapeake,Virginia,South
CR-12580_10009,New York City,New York,East 
SU-20665_48104,Ann Arbor,Michigan,Central
SC-20050_91941,La Mesa,California,West 
ML-18040_48126,Dearborn,Michigan,Central
GM-14440_92024,San Diego,California,West 
JK-15640_44107,Lakewood,Ohio,East 
AT-10435_6450,Meriden,Connecticut,East 
AH-10690_30076,Roswell,Georgia,South
SJ-20125_98105,Seattle,Washington,West 
HM-14860_7960,Morristown,New Jersey,East 
AG-10495_22304,Alexandria,Virginia,South
JB-16000_84106,Salt Lake City,Utah,West 
AJ-10795_92307,Apple Valley,California,West 
MM-18280_10009,New York City,New York,East 
TH-21235_90805,Long Beach,California,West 
AH-10120_97301,Salem,Oregon,West 
CL-12700_80013,Aurora,Colorado,West 
JG-15310_43055,Newark,Ohio,East 
SE-20110_98103,Seattle,Washington,West 
TG-21640_83201,Pocatello,Idaho,West 
SH-19975_75081,Dallas,Texas,Central
MC-17275_98105,Seattle,Washington,West 
PJ-18835_98115,Seattle,Washington,West 
ZC-21910_60610,Chicago,Illinois,Central
SC-20680_49423,Holland,Michigan,Central
BP-11230_74012,Broken Arrow,Oklahoma,Central
RD-19585_30605,Athens,Georgia,South
KL-16645_98105,Seattle,Washington,West 
CK-12205_32712,Apopka,Florida,South
RB-19705_77070,Houston,Texas,Central
KM-16225_21215,Baltimore,Maryland,East 
AH-10465_94109,San Francisco,California,West 
AG-10765_60623,Chicago,Illinois,Central
EB-14170_78041,Laredo,Texas,Central
PG-18895_94109,San Francisco,California,West 
CA-12055_44105,Cleveland,Ohio,East 
SS-20875_43302,Marion,Ohio,East 
RP-19390_6824,Fairfield,Connecticut,East 
SC-20440_10009,New York City,New York,East 
NW-18400_10024,New York City,New York,East 
KW-16435_60653,Chicago,Illinois,Central
HR-14770_10035,New York City,New York,East 
AG-10900_23223,Richmond,Virginia,South
BM-11650_48104,Ann Arbor,Michigan,Central
RD-19720_47905,Lafayette,Indiana,Central
KB-16585_97477,Springfield,Oregon,West 
DW-13585_94109,San Francisco,California,West 
VG-21805_60653,Chicago,Illinois,Central
DR-12880_10011,New York City,New York,East 
AH-10690_77095,Houston,Texas,Central
JP-15520_53711,Madison,Wisconsin,Central
DR-12880_6460,Milford,Connecticut,East 
JK-15625_10024,New York City,New York,East 
MV-17485_90049,Los Angeles,California,West 
BP-11155_94109,San Francisco,California,West 
DH-13075_94533,Fairfield,California,West 
LH-16900_27834,Greenville,North Carolina,South
DK-13090_11561,Long Beach,New York,East 
SS-20410_60089,Buffalo Grove,Illinois,Central
FP-14320_92037,San Diego,California,West 
LC-17050_40475,Richmond,Kentucky,South
AS-10240_22153,Springfield,Virginia,South
HG-15025_76106,Fort Worth,Texas,Central
BW-11065_27604,Raleigh,North Carolina,South
BH-11710_33012,Hialeah,Florida,South
JP-16135_90032,Los Angeles,California,West 
JM-16195_92630,Lake Forest,California,West 
FH-14365_11561,Long Beach,New York,East 
MC-17575_98103,Seattle,Washington,West 
EB-13870_96003,Redding,California,West 
PM-19135_78207,San Antonio,Texas,Central
AR-10345_77070,Houston,Texas,Central
SS-20875_1453,Leominster,Massachusetts,East 
SC-20440_90032,Los Angeles,California,West 
EA-14035_65807,Springfield,Missouri,Central
TP-21130_76706,Waco,Texas,Central
BP-11290_90036,Los Angeles,California,West 
LM-17065_13021,Auburn,New York,East 
KT-16465_94109,San Francisco,California,West 
AP-10915_90008,Los Angeles,California,West 
JD-15790_90049,Los Angeles,California,West 
XP-21865_95928,Chico,California,West 
JK-16090_97477,Springfield,Oregon,West 
MG-18205_32216,Jacksonville,Florida,South
PG-18820_93309,Bakersfield,California,West 
LD-17005_10011,New York City,New York,East 
MN-17935_79907,El Paso,Texas,Central
RD-19900_91360,Thousand Oaks,California,West 
JP-16135_45503,Springfield,Ohio,East 
KE-16420_75220,Dallas,Texas,Central
DL-13315_37918,Knoxville,Tennessee,South
KB-16240_37421,Chattanooga,Tennessee,South
JD-16150_92037,San Diego,California,West 
AC-10450_33614,Tampa,Florida,South
LS-17245_13501,Utica,New York,East 
CS-12175_94122,San Francisco,California,West 
AR-10510_43229,Columbus,Ohio,East 
KB-16405_10035,New York City,New York,East 
MM-17920_47374,Richmond,Indiana,Central
RF-19735_92105,San Diego,California,West 
BP-11290_28027,Concord,North Carolina,South
MJ-17740_33178,Miami,Florida,South
DO-13645_90036,Los Angeles,California,West 
MV-17485_98115,Seattle,Washington,West 
MG-17875_22204,Arlington,Virginia,South
BS-11665_92105,San Diego,California,West 
PO-19180_55113,Roseville,Minnesota,Central
DA-13450_23464,Virginia Beach,Virginia,South
AH-10690_75220,Dallas,Texas,Central
JK-15730_94521,Concord,California,West 
MS-17530_72032,Conway,Arkansas,South
JK-15640_19120,Philadelphia,Pennsylvania,East 
CM-12235_72209,Little Rock,Arkansas,South
RS-19420_6450,Meriden,Connecticut,East 
BP-11185_19143,Philadelphia,Pennsylvania,East 
MA-17995_82001,Cheyenne,Wyoming,West 
EB-13705_92804,Anaheim,California,West 
RD-19900_47401,Bloomington,Indiana,Central
EH-14005_72401,Jonesboro,Arkansas,South
FM-14290_19140,Philadelphia,Pennsylvania,East 
FG-14260_1841,Lawrence,Massachusetts,East 
MV-17485_10011,New York City,New York,East 
JW-15220_92105,San Diego,California,West 
EH-13765_94109,San Francisco,California,West 
LS-17245_94110,San Francisco,California,West 
BP-11050_2920,Cranston,Rhode Island,East 
CC-12220_42301,Owensboro,Kentucky,South
JM-15580_21215,Baltimore,Maryland,East 
RD-19720_60610,Chicago,Illinois,Central
SS-20410_30318,Atlanta,Georgia,South
KD-16495_90036,Los Angeles,California,West 
PL-18925_90049,Los Angeles,California,West 
ZD-21925_47374,Richmond,Indiana,Central
LS-16945_94110,San Francisco,California,West 
PB-18805_94122,San Francisco,California,West 
PC-18745_7090,Westfield,New Jersey,East 
FM-14290_94122,San Francisco,California,West 
KD-16495_95123,San Jose,California,West 
SC-20680_98115,Seattle,Washington,West 
DW-13585_42301,Owensboro,Kentucky,South
PF-19120_10035,New York City,New York,East 
DK-13225_10011,New York City,New York,East 
RB-19435_22153,Springfield,Virginia,South
GD-14590_98226,Bellingham,Washington,West 
RA-19885_35601,Decatur,Alabama,South
DB-13555_72701,Fayetteville,Arkansas,South
RL-19615_19120,Philadelphia,Pennsylvania,East 
RB-19465_98103,Seattle,Washington,West 
JF-15295_75023,Plano,Texas,Central
RW-19690_90049,Los Angeles,California,West 
VG-21790_90032,Los Angeles,California,West 
JM-15265_90036,Los Angeles,California,West 
BE-11455_50315,Des Moines,Iowa,Central
CB-12535_38671,Southaven,Mississippi,South
SD-20485_77041,Houston,Texas,Central
SG-20890_10009,New York City,New York,East 
TS-21430_19601,Reading,Pennsylvania,East 
DK-13225_94109,San Francisco,California,West 
ML-17395_90045,Los Angeles,California,West 
MA-17560_90004,Los Angeles,California,West 
LR-17035_94109,San Francisco,California,West 
BE-11335_10009,New York City,New York,East 
CC-12145_92105,San Diego,California,West 
BD-11770_10024,New York City,New York,East 
JK-15640_10011,New York City,New York,East 
DB-13615_28205,Charlotte,North Carolina,South
RR-19525_66212,Overland Park,Kansas,Central
SV-20935_85204,Mesa,Arizona,West 
RB-19465_74133,Tulsa,Oklahoma,Central
MV-18190_10035,New York City,New York,East 
EH-14185_19143,Philadelphia,Pennsylvania,East 
JS-16030_39401,Hattiesburg,Mississippi,South
ES-14020_90049,Los Angeles,California,West 
NS-18640_43229,Columbus,Ohio,East 
SH-19975_83605,Caldwell,Idaho,West 
RF-19345_85023,Phoenix,Arizona,West 
DL-12865_33142,Miami,Florida,South
AG-10390_90004,Los Angeles,California,West 
SW-20245_12180,Troy,New York,East 
KN-16390_2740,New Bedford,Massachusetts,East 
GB-14530_29501,Florence,South Carolina,South
CL-12565_90049,Los Angeles,California,West 
KF-16285_90008,Los Angeles,California,West 
AY-10555_90049,Los Angeles,California,West 
BD-11635_43229,Columbus,Ohio,East 
HG-15025_70065,Kenner,Louisiana,South
CB-12025_75104,Cedar Hill,Texas,Central
LS-16945_2908,Providence,Rhode Island,East 
DM-13015_43130,Lancaster,Ohio,East 
AC-10615_98115,Seattle,Washington,West 
LT-17110_28540,Jacksonville,North Carolina,South
AH-10585_33142,Miami,Florida,South
SS-20140_3060,Nashua,New Hampshire,East 
TD-20995_10011,New York City,New York,East 
PP-18955_90036,Los Angeles,California,West 
PG-18820_75007,Carrollton,Texas,Central
AA-10645_40324,Georgetown,Kentucky,South
FA-14230_90008,Los Angeles,California,West 
TB-21520_85635,Sierra Vista,Arizona,West 
AH-10075_37918,Knoxville,Tennessee,South
CP-12085_85705,Tucson,Arizona,West 
BF-11215_55407,Minneapolis,Minnesota,Central
CP-12340_33142,Miami,Florida,South
LS-17245_77036,Houston,Texas,Central
TS-21655_53209,Milwaukee,Wisconsin,Central
JS-15940_43130,Lancaster,Ohio,East 
NF-18385_78539,Edinburg,Texas,Central
KN-16705_10009,New York City,New York,East 
GA-14725_19120,Philadelphia,Pennsylvania,East 
EH-14125_14609,Rochester,New York,East 
RA-19285_92037,San Diego,California,West 
TT-21070_19120,Philadelphia,Pennsylvania,East 
AH-10465_38134,Bartlett,Tennessee,South
CC-12430_90712,Lakewood,California,West 
KD-16495_19120,Philadelphia,Pennsylvania,East 
BG-11035_78745,Austin,Texas,Central
FH-14365_90008,Los Angeles,California,West 
PG-18820_10011,New York City,New York,East 
NZ-18565_77070,Houston,Texas,Central
TB-21595_79424,Lubbock,Texas,Central
JE-15475_77095,Houston,Texas,Central
EH-13945_92627,Costa Mesa,California,West 
BF-10975_30076,Roswell,Georgia,South
PC-18745_80538,Loveland,Colorado,West 
SV-20365_10035,New York City,New York,East 
Dp-13240_19143,Philadelphia,Pennsylvania,East 
HR-14830_33178,Miami,Florida,South
WB-21850_75051,Grand Prairie,Texas,Central
AS-10090_60653,Chicago,Illinois,Central
SP-20920_44134,Parma,Ohio,East 
SP-20650_94061,Redwood City,California,West 
CM-12655_10011,New York City,New York,East 
JR-16210_97477,Springfield,Oregon,West 
CB-12415_60610,Chicago,Illinois,Central
SD-20485_76021,Bedford,Texas,Central
SS-20140_90036,Los Angeles,California,West 
EH-13990_10009,New York City,New York,East 
AH-10030_94109,San Francisco,California,West 
EM-14200_23464,Virginia Beach,Virginia,South
TB-21190_10011,New York City,New York,East 
AB-10165_37087,Lebanon,Tennessee,South
AO-10810_90045,Los Angeles,California,West 
TT-21220_91911,Chula Vista,California,West 
KN-16705_78501,Mcallen,Texas,Central
FO-14305_33021,Hollywood,Florida,South
GA-14725_94110,San Francisco,California,West 
NC-18415_93454,Santa Maria,California,West 
JF-15190_6040,Manchester,Connecticut,East 
GT-14710_68104,Omaha,Nebraska,Central
KM-16660_95123,San Jose,California,West 
PJ-18835_94122,San Francisco,California,West 
AC-10660_94109,San Francisco,California,West 
JG-15310_90805,Long Beach,California,West 
RM-19375_31907,Columbus,Georgia,South
EK-13795_94110,San Francisco,California,West 
RD-19585_90004,Los Angeles,California,West 
CV-12805_19120,Philadelphia,Pennsylvania,East 
AG-10330_74133,Tulsa,Oklahoma,Central
GM-14440_90049,Los Angeles,California,West 
MC-17605_33801,Lakeland,Florida,South
ES-14020_77036,Houston,Texas,Central
MM-17920_22153,Springfield,Virginia,South
MH-17440_10035,New York City,New York,East 
NZ-18565_65807,Springfield,Missouri,Central
GB-14575_29203,Columbia,South Carolina,South
DB-13270_97206,Portland,Oregon,West 
JK-15625_19120,Philadelphia,Pennsylvania,East 
AM-10705_60016,Des Plaines,Illinois,Central
MW-18220_98103,Seattle,Washington,West 
AG-10330_77095,Houston,Texas,Central
CM-12160_19143,Philadelphia,Pennsylvania,East 
RA-19915_47201,Columbus,Indiana,Central
SB-20185_60201,Evanston,Illinois,Central
PK-19075_92307,Apple Valley,California,West 
SV-20935_43229,Columbus,Ohio,East 
MG-17650_43302,Marion,Ohio,East 
CM-12445_77095,Houston,Texas,Central
ME-18010_43302,Marion,Ohio,East 
YS-21880_98103,Seattle,Washington,West 
MB-17305_98632,Longview,Washington,West 
AS-10240_90278,Redondo Beach,California,West 
MC-17425_10035,New York City,New York,East 
PG-18820_40214,Louisville,Kentucky,South
JS-16030_48183,Trenton,Michigan,Central
JB-16000_90045,Los Angeles,California,West 
DK-12985_37075,Hendersonville,Tennessee,South
JF-15490_97206,Portland,Oregon,West 
PO-18850_75061,Irving,Texas,Central
BT-11530_44105,Cleveland,Ohio,East 
NW-18400_50701,Waterloo,Iowa,Central
JF-15415_98105,Seattle,Washington,West 
AC-10420_19120,Philadelphia,Pennsylvania,East 
TB-21280_10009,New York City,New York,East 
HA-14905_95123,San Jose,California,West 
LH-17155_90008,Los Angeles,California,West 
LO-17170_3301,Concord,New Hampshire,East 
DP-13390_38401,Columbia,Tennessee,South
CR-12580_98006,Bellevue,Washington,West 
KB-16405_98105,Seattle,Washington,West 
ML-17410_47201,Columbus,Indiana,Central
MC-17575_60623,Chicago,Illinois,Central
VM-21685_30062,Marietta,Georgia,South
VW-21775_36116,Montgomery,Alabama,South
GK-14620_75023,Plano,Texas,Central
AT-10435_33319,Tamarac,Florida,South
AR-10825_43229,Columbus,Ohio,East 
JH-15820_10009,New York City,New York,East 
RA-19285_47374,Richmond,Indiana,Central
RO-19780_98115,Seattle,Washington,West 
LR-17035_11561,Long Beach,New York,East 
MK-17905_61107,Rockford,Illinois,Central
YS-21880_31907,Columbus,Georgia,South
JH-15910_74133,Tulsa,Oklahoma,Central
AT-10735_37211,Nashville,Tennessee,South
RM-19675_2138,Cambridge,Massachusetts,East 
BB-11545_94601,Oakland,California,West 
AS-10285_60067,Palatine,Illinois,Central
DK-13375_98105,Seattle,Washington,West 
JH-15910_45231,Cincinnati,Ohio,East 
JK-15205_43302,Marion,Ohio,East 
EH-13765_90049,Los Angeles,California,West 
VW-21775_44107,Lakewood,Ohio,East 
CG-12040_37087,Lebanon,Tennessee,South
EB-13705_94122,San Francisco,California,West 
NF-18595_95928,Chico,California,West 
ME-17725_24153,Salem,Virginia,South
AZ-10750_90008,Los Angeles,California,West 
RF-19345_10024,New York City,New York,East 
AJ-10780_1915,Beverly,Massachusetts,East 
SF-20965_92024,San Diego,California,West 
MZ-17335_94109,San Francisco,California,West 
SB-20170_60623,Chicago,Illinois,Central
AH-10210_75220,Dallas,Texas,Central
NK-18490_78415,Corpus Christi,Texas,Central
AI-10855_10035,New York City,New York,East 
TP-21565_97405,Eugene,Oregon,West 
LW-17125_93030,Oxnard,California,West 
NG-18355_6824,Fairfield,Connecticut,East 
NG-18355_49201,Jackson,Michigan,Central
EB-13750_92677,Laguna Niguel,California,West 
SP-20860_32216,Jacksonville,Florida,South
SP-20545_10550,Mount Vernon,New York,East 
RB-19795_48640,Midland,Michigan,Central
DB-13660_19711,Newark,Delaware,East 
NB-18655_94109,San Francisco,California,West 
XP-21865_48185,Westland,Michigan,Central
MH-17455_10011,New York City,New York,East 
BG-11740_90008,Los Angeles,California,West 
DB-13660_43130,Lancaster,Ohio,East 
EM-14140_19711,Newark,Delaware,East 
RB-19465_10024,New York City,New York,East 
PO-18850_94109,San Francisco,California,West 
AG-10900_75217,Dallas,Texas,Central
BF-11275_33178,Miami,Florida,South
